"Account Number","Kontonummer"
"Card Verification Number","Kreditkartenprüfnummer"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten-Verifizierung"
"Debug Flag","Debug-Anzeiger"
"Demo Mode","Demo-Modus"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Flo2Cash Payment Web Service","Flo2Cash Zahlungs-Internetdienst"
"For ""Authorize"" or ""Capture"" transactions only.","Nur für ""Berechtigen""- oder ""Erfassen""-Transaktionen."
"For ""Purchase"" transactions only.","Nur für ""Kaufen""-Transaktionen."
"Name on Card","Name des Inhabers"
"Name on the Card: %s","Name des Inhabers: %s"
"New Order Status","Neuer Bestellstatus"
"Password","Passwort"
"Payment Action","Zahlungsaktion"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Please Select","Bitte wählen"
"Sort Order","Sortierfolge"
"Title","Titel"
"Username","Benutzername"
"What is this?","Was ist das?"
